review_id,text,sentiment,cleaned_text
R000033,This is the best purchase I have ever purchased. Highly recommend! excellent product. Exactly what I needed. Will buy again.,1,best purchase ever purchased highly recommend excellent product exactly needed buy
R000034,Impressed with the build. amazing build and the assembly was quick. Five stars! This tool exceeded my expectations. Very solid.,1,impressed build amazing build assembly quick five star tool exceeded expectation very solid
R000035,solid product. Exactly what I needed. Will buy again.,1,solid product exactly needed buy
R000037,Great item! The build is great and it works perfectly.,1,great item build great work perfectly
R000038,I absolutely love this product. wonderful quality and fast assembly.,1,absolutely love product wonderful quality fast assembly
R000039,My family loves this accessory. The material is outstanding. This is the best purchase I have ever purchased. Highly recommend!,1,family love accessory material outstanding best purchase ever purchased highly recommend
R000040,This is the best accessory I have ever purchased. Highly recommend! So happy with this purchase. The purchase is premium and well made.,1,best accessory ever purchased highly recommend happy purchase purchase premium well made
R000041,Five stars! This accessory exceeded my expectations. Very wonderful.,1,five star accessory exceeded expectation very wonderful
R000042,Broken on arrival. The battery was damaged and delivery took forever.,0,broken arrival battery damaged delivery took forever
R000043,Not worth the money. This unit is cheaply made and useless.,0,not worth money unit cheaply made useless
R000044,So happy with this purchase. The purchase is premium and well made.,1,happy purchase purchase premium well made
R000045,Amazing gadget! Not a single complaint. The material is top notch.,1,amazing gadget not single complaint material top notch
R000046,Do not buy this accessory. Poor quality and awful installation. Do not buy this accessory. Poor quality and awful setup.,0,not buy accessory poor quality awful installation not buy accessory poor quality awful setup
R000047,Disappointing. The unit does not match the description at all. Disappointing. The product does not match the description at all.,0,disappointing unit not match description disappointing product not match description
R000048,I absolutely love this gadget. wonderful quality and fast assembly.,1,absolutely love gadget wonderful quality fast assembly
R000049,Perfect tool for the price. superb value and excellent battery. Five stars! This item exceeded my expectations. Very excellent.,1,perfect tool price superb value excellent battery five star item exceeded expectation very excellent
R000050,My family loves this gadget. The material is outstanding. This is the best product I have ever purchased. Highly recommend!,1,family love gadget material outstanding best product ever purchased highly recommend
R000052,Do not buy this purchase. Poor screen and awful assembly.,0,not buy purchase poor screen awful assembly
R000053,Impressed with the screen. amazing build and the installation was quick.,1,impressed screen amazing build installation quick
R000054,Impressed with the build. premium build and the delivery was quick.,1,impressed build premium build delivery quick
R000055,One star. This tool is the worst I have owned. Do not recommend.,0,one star tool worst owned not recommend
R000056,Perfect accessory for the price. premium value and excellent quality.,1,perfect accessory price premium value excellent quality
R000057,Disappointing. The unit does not match the description at all.,0,disappointing unit not match description
R000058,Very poor quality item. The material fell apart within a week. Broken on arrival. The material was damaged and setup took forever.,0,very poor quality item material fell apart within week broken arrival material damaged setup took forever
R000059,The screen is horrible. Returned this product right away.,0,screen horrible returned product right away
R000060,This is the best product I have ever purchased. Highly recommend!,1,best product ever purchased highly recommend
R000062,Great device! The design is great and it works perfectly. So happy with this purchase. The gadget is solid and well made.,1,great device design great work perfectly happy purchase gadget solid well made
R000063,The material is horrible. Returned this product right away.,0,material horrible returned product right away
R000064,Do not buy this product. Poor finish and awful assembly.,0,not buy product poor finish awful assembly
R000065,Disappointing. The item does not match the description at all.,0,disappointing item not match description
R000066,The quality is horrible. Returned this device right away. One star. This tool is the worst I have owned. Do not recommend.,0,quality horrible returned device right away one star tool worst owned not recommend
R000067,Five stars! This accessory exceeded my expectations. Very premium. So happy with this purchase. The tool is excellent and well made.,1,five star accessory exceeded expectation very premium happy purchase tool excellent well made
R000068,Five stars! This product exceeded my expectations. Very fantastic.,1,five star product exceeded expectation very fantastic
R000069,This is the best accessory I have ever purchased. Highly recommend!,1,best accessory ever purchased highly recommend
R000070,Disappointing. The tool does not match the description at all.,0,disappointing tool not match description
R000071,Broken on arrival. The packaging was damaged and shipping took forever.,0,broken arrival packaging damaged shipping took forever
R000072,I absolutely love this gadget. great quality and fast setup.,1,absolutely love gadget great quality fast setup
R000074,This is the best accessory I have ever purchased. Highly recommend! My family loves this accessory. The material is outstanding.,1,best accessory ever purchased highly recommend family love accessory material outstanding
R000075,amazing product. Exactly what I needed. Will buy again.,1,amazing product exactly needed buy
R000076,Five stars! This accessory exceeded my expectations. Very fantastic.,1,five star accessory exceeded expectation very fantastic
R000077,Perfect unit for the price. wonderful value and excellent material. My family loves this product. The finish is outstanding.,1,perfect unit price wonderful value excellent material family love product finish outstanding
R000078,Disappointing. The product does not match the description at all.,0,disappointing product not match description
R000079,My family loves this device. The finish is outstanding. This is the best unit I have ever purchased. Highly recommend!,1,family love device finish outstanding best unit ever purchased highly recommend
R000080,So happy with this purchase. The item is wonderful and well made. This is the best accessory I have ever purchased. Highly recommend!,1,happy purchase item wonderful well made best accessory ever purchased highly recommend
R000082,Great device! The packaging is amazing and it works perfectly. Great gadget! The screen is premium and it works perfectly.,1,great device packaging amazing work perfectly great gadget screen premium work perfectly
R000083,Disappointing. The tool does not match the description at all.,0,disappointing tool not match description
R000084,Perfect tool for the price. wonderful value and excellent packaging.,1,perfect tool price wonderful value excellent packaging
R000085,The screen is horrible. Returned this product right away. The material is horrible. Returned this gadget right away.,0,screen horrible returned product right away material horrible returned gadget right away
R000086,This is the best product I have ever purchased. Highly recommend!,1,best product ever purchased highly recommend
R000087,My family loves this device. The battery is outstanding.,1,family love device battery outstanding
R000088,The build is horrible. Returned this accessory right away.,0,build horrible returned accessory right away
R000089,Amazing unit! Not a single complaint. The packaging is top notch.,1,amazing unit not single complaint packaging top notch
R000090,One star. This purchase is the worst I have owned. Do not recommend. Broken on arrival. The design was damaged and installation took forever.,0,one star purchase worst owned not recommend broken arrival design damaged installation took forever
R000091,My family loves this item. The quality is outstanding.,1,family love item quality outstanding
R000092,Not worth the money. This accessory is cheaply made and cheap. Disappointing. The purchase does not match the description at all.,0,not worth money accessory cheaply made cheap disappointing purchase not match description
R000093,I hate this unit. It stopped working immediately. Total waste.,0,hate unit stopped working immediately total waste
R000094,Disappointing. The item does not match the description at all. One star. This gadget is the worst I have owned. Do not recommend.,0,disappointing item not match description one star gadget worst owned not recommend
R000095,Very poor quality device. The screen fell apart within a week.,0,very poor quality device screen fell apart within week
R000096,Do not buy this product. Poor material and awful assembly.,0,not buy product poor material awful assembly
R000100,My family loves this tool. The packaging is outstanding. Amazing gadget! Not a single complaint. The finish is top notch.,1,family love tool packaging outstanding amazing gadget not single complaint finish top notch
R000101,My family loves this purchase. The build is outstanding.,1,family love purchase build outstanding
R000102,This is the best item I have ever purchased. Highly recommend! Great product! The design is superb and it works perfectly.,1,best item ever purchased highly recommend great product design superb work perfectly
R000103,Terrible tool. The build broke after one day. Very disappointed. I hate this item. It stopped working immediately. Total waste.,0,terrible tool build broke one day very disappointed hate item stopped working immediately total waste
R000104,My family loves this product. The quality is outstanding. Impressed with the battery. excellent build and the delivery was quick.,1,family love product quality outstanding impressed battery excellent build delivery quick
R000105,This is the best device I have ever purchased. Highly recommend!,1,best device ever purchased highly recommend
R000106,The quality is horrible. Returned this unit right away. Worst purchase ever. This tool is completely useless.,0,quality horrible returned unit right away worst purchase ever tool completely useless
R000107,Five stars! This gadget exceeded my expectations. Very amazing. So happy with this purchase. The accessory is great and well made.,1,five star gadget exceeded expectation very amazing happy purchase accessory great well made
R000108,Terrible gadget. The material broke after one day. Very disappointed.,0,terrible gadget material broke one day very disappointed
R000110,This is the best unit I have ever purchased. Highly recommend!,1,best unit ever purchased highly recommend
R000111,So happy with this purchase. The accessory is superb and well made.,1,happy purchase accessory superb well made
R000112,My family loves this tool. The material is outstanding.,1,family love tool material outstanding
R000113,Very poor quality unit. The material fell apart within a week.,0,very poor quality unit material fell apart within week
R000114,Great accessory! The finish is premium and it works perfectly. Impressed with the design. premium build and the installation was quick.,1,great accessory finish premium work perfectly impressed design premium build installation quick
R000115,Five stars! This product exceeded my expectations. Very superb.,1,five star product exceeded expectation very superb
R000116,Worst purchase ever. This item is completely useless. One star. This gadget is the worst I have owned. Do not recommend.,0,worst purchase ever item completely useless one star gadget worst owned not recommend
R000117,Disappointing. The item does not match the description at all.,0,disappointing item not match description
R000118,Amazing device! Not a single complaint. The build is top notch. So happy with this purchase. The product is superb and well made.,1,amazing device not single complaint build top notch happy purchase product superb well made
R000120,Five stars! This purchase exceeded my expectations. Very fantastic. Great item! The build is solid and it works perfectly.,1,five star purchase exceeded expectation very fantastic great item build solid work perfectly
R000121,I hate this unit. It stopped working immediately. Total waste.,0,hate unit stopped working immediately total waste
R000122,Amazing product! Not a single complaint. The battery is top notch.,1,amazing product not single complaint battery top notch
R000123,Perfect product for the price. solid value and excellent build.,1,perfect product price solid value excellent build
R000124,great product. Exactly what I needed. Will buy again. Perfect accessory for the price. great value and excellent packaging.,1,great product exactly needed buy perfect accessory price great value excellent packaging
R000125,great product. Exactly what I needed. Will buy again. Amazing item! Not a single complaint. The design is top notch.,1,great product exactly needed buy amazing item not single complaint design top notch
R000126,Not worth the money. This item is cheaply made and flimsy.,0,not worth money item cheaply made flimsy
R000127,My family loves this item. The material is outstanding. Impressed with the quality. fantastic build and the setup was quick.,1,family love item material outstanding impressed quality fantastic build setup quick
R000128,Great accessory! The quality is premium and it works perfectly.,1,great accessory quality premium work perfectly
R000129,Worst purchase ever. This tool is completely useless.,0,worst purchase ever tool completely useless
R000130,This is the best item I have ever purchased. Highly recommend!,1,best item ever purchased highly recommend
R000131,fantastic product. Exactly what I needed. Will buy again. Amazing product! Not a single complaint. The finish is top notch.,1,fantastic product exactly needed buy amazing product not single complaint finish top notch
R000132,Five stars! This product exceeded my expectations. Very superb. This is the best unit I have ever purchased. Highly recommend!,1,five star product exceeded expectation very superb best unit ever purchased highly recommend
R000133,Perfect accessory for the price. fantastic value and excellent battery.,1,perfect accessory price fantastic value excellent battery
R000135,Five stars! This product exceeded my expectations. Very wonderful. Five stars! This item exceeded my expectations. Very superb.,1,five star product exceeded expectation very wonderful five star item exceeded expectation very superb
R000136,Impressed with the finish. premium build and the setup was quick.,1,impressed finish premium build setup quick
R000137,So happy with this purchase. The device is great and well made. Five stars! This accessory exceeded my expectations. Very solid.,1,happy purchase device great well made five star accessory exceeded expectation very solid
R000138,Very poor quality purchase. The quality fell apart within a week.,0,very poor quality purchase quality fell apart within week
R000139,I absolutely love this device. premium quality and fast delivery. Impressed with the quality. solid build and the assembly was quick.,1,absolutely love device premium quality fast delivery impressed quality solid build assembly quick
R000140,Very poor quality unit. The design fell apart within a week.,0,very poor quality unit design fell apart within week
R000141,I hate this item. It stopped working immediately. Total waste.,0,hate item stopped working immediately total waste
R000142,premium product. Exactly what I needed. Will buy again.,1,premium product exactly needed buy
R000143,Worst purchase ever. This unit is completely useless. Do not buy this unit. Poor design and awful delivery.,0,worst purchase ever unit completely useless not buy unit poor design awful delivery
R000144,Perfect product for the price. superb value and excellent build. This is the best tool I have ever purchased. Highly recommend!,1,perfect product price superb value excellent build best tool ever purchased highly recommend
R000145,So happy with this purchase. The item is fantastic and well made. Impressed with the battery. fantastic build and the installation was quick.,1,happy purchase item fantastic well made impressed battery fantastic build installation quick
R000146,This is the best device I have ever purchased. Highly recommend!,1,best device ever purchased highly recommend
R000147,This is the best tool I have ever purchased. Highly recommend!,1,best tool ever purchased highly recommend
R000148,So happy with this purchase. The device is fantastic and well made. This is the best product I have ever purchased. Highly recommend!,1,happy purchase device fantastic well made best product ever purchased highly recommend
R000149,Perfect tool for the price. great value and excellent finish.,1,perfect tool price great value excellent finish
R000150,Perfect purchase for the price. premium value and excellent finish.,1,perfect purchase price premium value excellent finish
R000151,Impressed with the build. fantastic build and the assembly was quick.,1,impressed build fantastic build assembly quick
R000152,I hate this device. It stopped working immediately. Total waste. I hate this device. It stopped working immediately. Total waste.,0,hate device stopped working immediately total waste hate device stopped working immediately total waste
R000153,Amazing accessory! Not a single complaint. The screen is top notch. Amazing accessory! Not a single complaint. The material is top notch.,1,amazing accessory not single complaint screen top notch amazing accessory not single complaint material top notch
R000154,The screen is horrible. Returned this accessory right away.,0,screen horrible returned accessory right away
R000155,Very poor quality purchase. The quality fell apart within a week.,0,very poor quality purchase quality fell apart within week
R000156,Worst purchase ever. This purchase is completely useless. Not worth the money. This unit is cheaply made and cheap.,0,worst purchase ever purchase completely useless not worth money unit cheaply made cheap
R000157,Broken on arrival. The quality was damaged and delivery took forever.,0,broken arrival quality damaged delivery took forever
R000158,Impressed with the packaging. fantastic build and the assembly was quick.,1,impressed packaging fantastic build assembly quick
R000159,So happy with this purchase. The tool is premium and well made.,1,happy purchase tool premium well made
R000160,I absolutely love this accessory. great quality and fast shipping.,1,absolutely love accessory great quality fast shipping
R000161,Great gadget! The design is excellent and it works perfectly.,1,great gadget design excellent work perfectly
R000162,Not worth the money. This accessory is cheaply made and terrible.,0,not worth money accessory cheaply made terrible
R000163,Impressed with the build. premium build and the assembly was quick. Five stars! This accessory exceeded my expectations. Very wonderful.,1,impressed build premium build assembly quick five star accessory exceeded expectation very wonderful
R000164,Five stars! This tool exceeded my expectations. Very wonderful.,1,five star tool exceeded expectation very wonderful
R000165,Five stars! This item exceeded my expectations. Very solid.,1,five star item exceeded expectation very solid
R000166,Impressed with the finish. great build and the delivery was quick.,1,impressed finish great build delivery quick
R000167,Great item! The material is wonderful and it works perfectly.,1,great item material wonderful work perfectly
R000168,Disappointing. The item does not match the description at all. Disappointing. The accessory does not match the description at all.,0,disappointing item not match description disappointing accessory not match description
R000169,Worst purchase ever. This gadget is completely useless. Not worth the money. This accessory is cheaply made and horrible.,0,worst purchase ever gadget completely useless not worth money accessory cheaply made horrible
R000171,Very poor quality device. The screen fell apart within a week.,0,very poor quality device screen fell apart within week
R000172,Do not buy this purchase. Poor build and awful shipping.,0,not buy purchase poor build awful shipping
R000173,Impressed with the screen. excellent build and the installation was quick. Impressed with the screen. excellent build and the setup was quick.,1,impressed screen excellent build installation quick impressed screen excellent build setup quick
R000174,This is the best accessory I have ever purchased. Highly recommend!,1,best accessory ever purchased highly recommend
R000175,Impressed with the battery. wonderful build and the installation was quick. So happy with this purchase. The unit is solid and well made.,1,impressed battery wonderful build installation quick happy purchase unit solid well made
R000176,premium product. Exactly what I needed. Will buy again. Amazing gadget! Not a single complaint. The battery is top notch.,1,premium product exactly needed buy amazing gadget not single complaint battery top notch
R000177,This is the best gadget I have ever purchased. Highly recommend!,1,best gadget ever purchased highly recommend
R000178,Disappointing. The product does not match the description at all. I hate this item. It stopped working immediately. Total waste.,0,disappointing product not match description hate item stopped working immediately total waste
R000179,This is the best accessory I have ever purchased. Highly recommend!,1,best accessory ever purchased highly recommend
R000180,Impressed with the packaging. premium build and the installation was quick. Amazing device! Not a single complaint. The design is top notch.,1,impressed packaging premium build installation quick amazing device not single complaint design top notch
R000181,Amazing device! Not a single complaint. The quality is top notch. Amazing purchase! Not a single complaint. The material is top notch.,1,amazing device not single complaint quality top notch amazing purchase not single complaint material top notch
R000182,Five stars! This gadget exceeded my expectations. Very amazing.,1,five star gadget exceeded expectation very amazing
R000183,Disappointing. The product does not match the description at all.,0,disappointing product not match description
R000184,Great tool! The build is wonderful and it works perfectly.,1,great tool build wonderful work perfectly
R000185,Not worth the money. This tool is cheaply made and defective. Broken on arrival. The build was damaged and installation took forever.,0,not worth money tool cheaply made defective broken arrival build damaged installation took forever
R000186,My family loves this purchase. The screen is outstanding.,1,family love purchase screen outstanding
R000187,The quality is horrible. Returned this device right away.,0,quality horrible returned device right away
R000188,The design is horrible. Returned this gadget right away.,0,design horrible returned gadget right away
R000189,Five stars! This purchase exceeded my expectations. Very excellent.,1,five star purchase exceeded expectation very excellent
R000190,I absolutely love this gadget. wonderful quality and fast installation. wonderful product. Exactly what I needed. Will buy again.,1,absolutely love gadget wonderful quality fast installation wonderful product exactly needed buy
R000191,The finish is horrible. Returned this tool right away. Disappointing. The unit does not match the description at all.,0,finish horrible returned tool right away disappointing unit not match description
R000192,Great product! The packaging is great and it works perfectly.,1,great product packaging great work perfectly
R000193,Disappointing. The unit does not match the description at all. Very poor quality device. The finish fell apart within a week.,0,disappointing unit not match description very poor quality device finish fell apart within week
R000194,Amazing product! Not a single complaint. The quality is top notch. fantastic product. Exactly what I needed. Will buy again.,1,amazing product not single complaint quality top notch fantastic product exactly needed buy
R000195,I absolutely love this accessory. premium quality and fast shipping.,1,absolutely love accessory premium quality fast shipping
R000196,I absolutely love this purchase. fantastic quality and fast shipping.,1,absolutely love purchase fantastic quality fast shipping
R000197,Five stars! This purchase exceeded my expectations. Very amazing.,1,five star purchase exceeded expectation very amazing
R000198,This is the best product I have ever purchased. Highly recommend!,1,best product ever purchased highly recommend
R000199,This is the best accessory I have ever purchased. Highly recommend! premium product. Exactly what I needed. Will buy again.,1,best accessory ever purchased highly recommend premium product exactly needed buy
R000200,Amazing product! Not a single complaint. The build is top notch.,1,amazing product not single complaint build top notch
R000201,This is the best tool I have ever purchased. Highly recommend! Impressed with the design. fantastic build and the assembly was quick.,1,best tool ever purchased highly recommend impressed design fantastic build assembly quick
R000202,I absolutely love this item. solid quality and fast shipping. So happy with this purchase. The purchase is superb and well made.,1,absolutely love item solid quality fast shipping happy purchase purchase superb well made
R000203,Perfect gadget for the price. superb value and excellent packaging.,1,perfect gadget price superb value excellent packaging
R000204,I hate this item. It stopped working immediately. Total waste. Do not buy this purchase. Poor build and awful shipping.,0,hate item stopped working immediately total waste not buy purchase poor build awful shipping
R000206,Broken on arrival. The quality was damaged and shipping took forever.,0,broken arrival quality damaged shipping took forever
R000207,My family loves this product. The packaging is outstanding. solid product. Exactly what I needed. Will buy again.,1,family love product packaging outstanding solid product exactly needed buy
R000208,Disappointing. The device does not match the description at all.,0,disappointing device not match description
R000209,Five stars! This gadget exceeded my expectations. Very premium.,1,five star gadget exceeded expectation very premium
R000210,So happy with this purchase. The purchase is superb and well made. So happy with this purchase. The device is great and well made.,1,happy purchase purchase superb well made happy purchase device great well made
R000211,Perfect unit for the price. fantastic value and excellent packaging. Perfect gadget for the price. superb value and excellent packaging.,1,perfect unit price fantastic value excellent packaging perfect gadget price superb value excellent packaging
R000212,Impressed with the battery. wonderful build and the assembly was quick.,1,impressed battery wonderful build assembly quick
R000213,Five stars! This item exceeded my expectations. Very solid.,1,five star item exceeded expectation very solid
R000214,Not worth the money. This item is cheaply made and useless.,0,not worth money item cheaply made useless
R000215,Amazing product! Not a single complaint. The design is top notch. Great product! The build is solid and it works perfectly.,1,amazing product not single complaint design top notch great product build solid work perfectly
R000216,The finish is horrible. Returned this gadget right away. One star. This device is the worst I have owned. Do not recommend.,0,finish horrible returned gadget right away one star device worst owned not recommend
R000217,Worst purchase ever. This item is completely useless. Broken on arrival. The finish was damaged and shipping took forever.,0,worst purchase ever item completely useless broken arrival finish damaged shipping took forever
R000218,Impressed with the quality. great build and the shipping was quick.,1,impressed quality great build shipping quick
R000219,I hate this device. It stopped working immediately. Total waste.,0,hate device stopped working immediately total waste
R000220,Great purchase! The quality is solid and it works perfectly.,1,great purchase quality solid work perfectly
R000221,I hate this tool. It stopped working immediately. Total waste.,0,hate tool stopped working immediately total waste
R000222,Perfect unit for the price. solid value and excellent packaging.,1,perfect unit price solid value excellent packaging
R000223,Five stars! This item exceeded my expectations. Very fantastic.,1,five star item exceeded expectation very fantastic
R000224,Broken on arrival. The battery was damaged and assembly took forever.,0,broken arrival battery damaged assembly took forever
R000225,Amazing device! Not a single complaint. The screen is top notch. So happy with this purchase. The product is superb and well made.,1,amazing device not single complaint screen top notch happy purchase product superb well made
R000226,Broken on arrival. The finish was damaged and installation took forever.,0,broken arrival finish damaged installation took forever
R000227,Five stars! This product exceeded my expectations. Very great. So happy with this purchase. The accessory is amazing and well made.,1,five star product exceeded expectation very great happy purchase accessory amazing well made
R000228,Amazing product! Not a single complaint. The material is top notch. excellent product. Exactly what I needed. Will buy again.,1,amazing product not single complaint material top notch excellent product exactly needed buy
R000229,Disappointing. The item does not match the description at all. Not worth the money. This device is cheaply made and horrible.,0,disappointing item not match description not worth money device cheaply made horrible
R000230,Amazing tool! Not a single complaint. The build is top notch.,1,amazing tool not single complaint build top notch
R000231,Great purchase! The screen is excellent and it works perfectly.,1,great purchase screen excellent work perfectly
R000232,Not worth the money. This accessory is cheaply made and horrible.,0,not worth money accessory cheaply made horrible
R000233,My family loves this tool. The finish is outstanding.,1,family love tool finish outstanding
R000234,Perfect unit for the price. amazing value and excellent packaging.,1,perfect unit price amazing value excellent packaging
R000235,Very poor quality device. The build fell apart within a week. Disappointing. The product does not match the description at all.,0,very poor quality device build fell apart within week disappointing product not match description
R000236,great product. Exactly what I needed. Will buy again.,1,great product exactly needed buy
R000239,Terrible product. The design broke after one day. Very disappointed.,0,terrible product design broke one day very disappointed
R000240,Worst purchase ever. This unit is completely useless. Do not buy this device. Poor quality and awful assembly.,0,worst purchase ever unit completely useless not buy device poor quality awful assembly
R000241,Impressed with the packaging. fantastic build and the assembly was quick.,1,impressed packaging fantastic build assembly quick
R000242,This is the best purchase I have ever purchased. Highly recommend!,1,best purchase ever purchased highly recommend
R000244,Five stars! This product exceeded my expectations. Very wonderful.,1,five star product exceeded expectation very wonderful
R000245,Impressed with the packaging. fantastic build and the assembly was quick.,1,impressed packaging fantastic build assembly quick
R000246,Worst purchase ever. This product is completely useless. Not worth the money. This tool is cheaply made and broken.,0,worst purchase ever product completely useless not worth money tool cheaply made broken
R000248,Amazing unit! Not a single complaint. The design is top notch. wonderful product. Exactly what I needed. Will buy again.,1,amazing unit not single complaint design top notch wonderful product exactly needed buy
R000249,The quality is horrible. Returned this device right away.,0,quality horrible returned device right away
R000250,Do not buy this unit. Poor screen and awful shipping. The design is horrible. Returned this item right away.,0,not buy unit poor screen awful shipping design horrible returned item right away
R000251,I absolutely love this accessory. fantastic quality and fast delivery.,1,absolutely love accessory fantastic quality fast delivery
R000252,excellent product. Exactly what I needed. Will buy again.,1,excellent product exactly needed buy
R000253,I absolutely love this purchase. wonderful quality and fast delivery.,1,absolutely love purchase wonderful quality fast delivery
R000254,This is the best product I have ever purchased. Highly recommend!,1,best product ever purchased highly recommend
R000255,Five stars! This unit exceeded my expectations. Very amazing.,1,five star unit exceeded expectation very amazing
R000256,Perfect unit for the price. premium value and excellent material.,1,perfect unit price premium value excellent material
R000257,Amazing unit! Not a single complaint. The build is top notch. Five stars! This item exceeded my expectations. Very wonderful.,1,amazing unit not single complaint build top notch five star item exceeded expectation very wonderful
R000258,Great tool! The quality is amazing and it works perfectly. Perfect item for the price. amazing value and excellent battery.,1,great tool quality amazing work perfectly perfect item price amazing value excellent battery
R000260,Impressed with the screen. premium build and the delivery was quick.,1,impressed screen premium build delivery quick
R000261,Great item! The finish is fantastic and it works perfectly.,1,great item finish fantastic work perfectly
R000262,Disappointing. The tool does not match the description at all. The build is horrible. Returned this product right away.,0,disappointing tool not match description build horrible returned product right away
R000264,My family loves this accessory. The design is outstanding. This is the best product I have ever purchased. Highly recommend!,1,family love accessory design outstanding best product ever purchased highly recommend
R000265,Very poor quality item. The design fell apart within a week. Disappointing. The device does not match the description at all.,0,very poor quality item design fell apart within week disappointing device not match description
R000267,Do not buy this unit. Poor battery and awful setup. Terrible gadget. The finish broke after one day. Very disappointed.,0,not buy unit poor battery awful setup terrible gadget finish broke one day very disappointed
R000268,I absolutely love this item. great quality and fast delivery. Amazing gadget! Not a single complaint. The packaging is top notch.,1,absolutely love item great quality fast delivery amazing gadget not single complaint packaging top notch
R000269,Impressed with the screen. solid build and the delivery was quick.,1,impressed screen solid build delivery quick
R000271,superb product. Exactly what I needed. Will buy again.,1,superb product exactly needed buy
R000272,So happy with this purchase. The product is superb and well made. Perfect tool for the price. fantastic value and excellent finish.,1,happy purchase product superb well made perfect tool price fantastic value excellent finish
R000274,Impressed with the quality. superb build and the shipping was quick. Great item! The design is superb and it works perfectly.,1,impressed quality superb build shipping quick great item design superb work perfectly
R000275,So happy with this purchase. The item is superb and well made. My family loves this accessory. The battery is outstanding.,1,happy purchase item superb well made family love accessory battery outstanding
R000276,solid product. Exactly what I needed. Will buy again. So happy with this purchase. The purchase is excellent and well made.,1,solid product exactly needed buy happy purchase purchase excellent well made
R000277,One star. This item is the worst I have owned. Do not recommend.,0,one star item worst owned not recommend
R000278,Very poor quality accessory. The screen fell apart within a week.,0,very poor quality accessory screen fell apart within week
R000279,Terrible product. The finish broke after one day. Very disappointed.,0,terrible product finish broke one day very disappointed
R000280,Worst purchase ever. This accessory is completely useless. The screen is horrible. Returned this product right away.,0,worst purchase ever accessory completely useless screen horrible returned product right away
R000282,So happy with this purchase. The purchase is fantastic and well made. My family loves this tool. The screen is outstanding.,1,happy purchase purchase fantastic well made family love tool screen outstanding
R000285,Perfect item for the price. great value and excellent packaging.,1,perfect item price great value excellent packaging
R000286,Great unit! The build is solid and it works perfectly.,1,great unit build solid work perfectly
